id_proveedor,nombre,sector,pais
PROV_0001,Banca Privada OLMJ S.L.N.E,Consultoría,España
PROV_0002,Suministros BL S.Coop.,Marketing,Portugal
PROV_0003,Grupo Rivas S.A.T.,Suministros Oficina,Portugal
PROV_0004,Alimentación Cuervo y asociados S.Com.,Consultoría,Reino Unido
PROV_0005,Fábrica Navarro S.A.,Consultoría,Italia
PROV_0006,Caballero y Palomar S.L.L.,Seguridad,España
PROV_0007,Banco Segovia & Asociados S.L.N.E,Tecnología,España
PROV_0008,Bermúdez y Marcos S.L.L.,Suministros Oficina,Portugal
PROV_0009,Fernandez & Asociados S.A.,Tecnología,Italia
PROV_0010,Instalaciones Española S.L.L.,Suministros Oficina,Reino Unido
PROV_0011,Restauración XRI S.Com.,Seguridad,Portugal
PROV_0012,Comercializadora Donoso & Asociados S.A.,Mantenimiento,Italia
PROV_0013,Lerma y Gimenez S.L.,Marketing,Estados Unidos
PROV_0014,Grupo Antón S.L.,Tecnología,Estados Unidos
PROV_0015,Leal y Batalla S.A.T.,Logística,Reino Unido
PROV_0016,Garcia y asociados S.Com.,Seguridad,Francia
PROV_0017,Eric Landa Chaparro S.A.U,Marketing,Portugal
PROV_0018,Suministros Pujol y asociados S.A.T.,Suministros Oficina,Estados Unidos
PROV_0019,Transportes Bou S.L.,Servicios Legales,España
PROV_0020,Despacho IJFU S.Coop.,Consultoría,Alemania
PROV_0021,Benigna Iglesias Alberdi S.L.,Consultoría,Francia
PROV_0022,Inmobiliaria RPIA S.L.,Servicios Legales,Italia
PROV_0023,Farmaceútica Vera & Asociados S.L.N.E,Marketing,Estados Unidos
PROV_0024,Finanzas Coronado y asociados S.L.,Tecnología,Reino Unido
PROV_0025,Hermanos Torres S.A.,Mantenimiento,Italia
PROV_0026,Meléndez & Asociados S.A.,Consultoría,Alemania
PROV_0027,Compañía ZDNN S.A.,Consultoría,Italia
PROV_0028,Carmela Dalmau Landa S.Coop.,Marketing,Estados Unidos
PROV_0029,Galán y Font S.L.,Servicios Legales,Italia
PROV_0030,Perea y Ríos S.L.N.E,Suministros Oficina,Reino Unido
PROV_0031,Dionisio Huguet Gomila S.A.,Consultoría,España
PROV_0032,Grupo Giménez S.A.,Suministros Oficina,Estados Unidos
PROV_0033,Grupo Bauzà S.L.N.E,Marketing,España
PROV_0034,Belda & Asociados S.C.P,Suministros Oficina,Estados Unidos
PROV_0035,Iker Catalán Suárez S.A.U,Consultoría,Alemania
